city,cloudiness,country,date_list,humidity,Lat_List,Lng_List,Max_Temp_List,Wind_Speed_List
Nhulunbuy,100,AU,1623714108,94,-12.2333,136.7667,77.61,3.44
Santa Rosalía,65,MX,1623714109,30,27.3167,-112.2833,92.73,11.74
Vágur,100,FO,1623714109,64,61.4732,-6.8119,43.84,14.43
Ardakān,0,IR,1623714110,27,32.31,54.0175,83.7,10.22
Totskoye,100,RU,1623714110,84,52.5248,52.7623,65.68,3.94
Kalmunai,100,LK,1623714111,72,7.4167,81.8167,77.74,3.31
Sirte,0,LY,1623714111,73,31.2089,16.5887,70.7,8.01
Villazón,6,BO,1623714111,15,-22.0866,-65.5942,45.1,5.68
Conceição da Barra,83,BR,1623714112,79,-18.5933,-39.7322,69.39,6.49
Tabuk,96,PH,1623714112,75,17.4189,121.4443,81.03,2.35
Yelandūr,100,IN,1623714113,79,12.0667,77.0333,70.7,13.13
Beringovskiy,99,RU,1623713977,97,63.05,179.3167,38.53,3.53
Comodoro Rivadavia,0,AR,1623713814,65,-45.8667,-67.5,40.86,8.05
Winburg,32,ZA,1623714113,60,-28.518,27.0093,47.98,3.6
Sur,10,OM,1623714114,48,22.5667,59.5289,89.74,5.66
Yangi Marg`ilon,63,UZ,1623714114,45,40.4272,71.7189,68.72,6.91
Flinders,63,AU,1623714114,59,-34.5833,150.8552,59.05,2.48
Ilhabela,1,BR,1623714115,80,-23.7781,-45.3581,65.25,7.29
Yeniseysk,32,RU,1623714115,56,58.4497,92.1703,53.58,2.39
Lajas,97,PR,1623714116,76,18.05,-67.0593,83.71,4.0
Tanete,100,ID,1623714116,96,-3.9443,119.7848,74.75,3.76
Sarāhan,0,IN,1623714116,46,31.5167,77.8,55.47,7.49
Canillo,17,AD,1623714117,87,42.5833,1.6667,56.39,2.13
Elko,25,US,1623714117,5,41.0002,-115.5012,96.82,20.0
Sayyan,40,YE,1623714117,29,15.1718,44.3244,61.72,1.21
Bambous Virieux,75,MU,1623714118,94,-20.3428,57.7575,71.85,5.75
Husavik,97,IS,1623714118,75,66.0449,-17.3389,35.51,4.72
Goderich,67,CA,1623714119,82,43.7501,-81.7165,61.92,12.66
Orchard Homes,1,US,1623714119,31,46.8633,-114.0484,95.59,1.99
Flagstaff,1,US,1623714120,10,35.1981,-111.6513,95.79,1.01
Awjilah,0,LY,1623714120,57,29.1081,21.2869,71.73,11.16
Souillac,75,MU,1623714120,94,-20.5167,57.5167,71.98,5.75
Wanning,76,CN,1623714121,75,18.8003,110.3967,83.25,8.97
Seoul,90,KR,1623713998,85,37.5683,126.9778,71.2,4.61
Morondava,0,MG,1623714121,77,-20.2833,44.2833,69.1,6.73
Aripuanã,26,BR,1623714122,53,-9.1667,-60.6333,78.37,0.96
Emba,7,KZ,1623714122,40,48.8264,58.1442,70.18,9.73
La Libertad,75,EC,1623714123,83,-2.2333,-80.9,74.86,9.22
Ekhabi,93,RU,1623714123,60,53.5102,142.9671,62.92,14.27
Dera Ghazi Khan,0,PK,1623714124,44,30.0561,70.6348,96.33,8.23
Salalah,20,OM,1623714090,84,17.0151,54.0924,84.29,5.75
Ati,84,TD,1623714124,14,13.2154,18.3353,93.54,6.4
Barroquinha,50,BR,1623714125,84,-3.0189,-41.1361,75.42,4.94
Lañgub,86,PH,1623714125,78,10.7981,123.5372,82.99,8.28
Olbia,0,IT,1623714125,77,40.9214,9.4856,66.25,1.14
Pirna,49,DE,1623714126,81,50.9584,13.937,63.64,4.7
Zheleznodorozhnyy,99,RU,1623714126,90,55.7503,38.0042,64.36,2.77
Batangafo,100,CF,1623714127,90,7.3008,18.2833,71.06,3.09
Luena,29,AO,1623714127,44,-11.7833,19.9167,49.19,4.41
Saint-Pierre,90,RE,1623714127,73,-21.3393,55.4781,71.29,6.91
Port Lincoln,70,AU,1623714128,90,-34.7333,135.8667,56.14,13.44
Victoria Point,18,AU,1623714128,78,-27.5833,153.3,66.18,4.0
Sovetsk,24,RU,1623714129,93,55.0839,21.8785,52.39,7.67
Cap Malheureux,22,MU,1623714101,81,-19.9842,57.6142,72.09,3.0
Otukpo,53,NG,1623714129,91,7.1913,8.1329,74.82,5.79
Rincon,75,US,1623713990,70,32.296,-81.2354,90.05,11.5
Rome,90,US,1623713948,84,43.2128,-75.4557,68.9,0.0
Hīt,0,IQ,1623714130,15,33.6416,42.8251,89.17,5.64
Taoudenni,0,ML,1623714130,9,22.6783,-3.9836,100.81,10.92
Buala,52,SB,1623714131,76,-8.145,159.5921,83.3,10.27
Adrar,74,MR,1623714131,10,20.5022,-10.0711,97.11,16.37
Camacha,40,PT,1623714132,77,33.0833,-16.3333,66.96,9.22
Provideniya,90,RU,1623714132,81,64.3833,-173.3,37.51,11.18
Fortuna,40,US,1623713962,68,40.5982,-124.1573,68.86,3.0
Paamiut,38,GL,1623714133,90,61.994,-49.6678,38.73,10.51
Vao,40,NC,1623714133,84,-22.6667,167.4833,72.64,14.72
Mossamedes,23,AO,1623714134,74,-15.1961,12.1522,69.91,2.86
Redmond,100,US,1623713853,83,47.674,-122.1215,66.92,1.01
Adré,96,TD,1623714134,31,13.4667,22.2,86.34,5.01
Marsh Harbour,100,BS,1623714026,72,26.5412,-77.0636,82.53,15.61
Mahon,0,ES,1623714032,83,39.8885,4.2658,72.16,4.61
Kutum,80,SD,1623714135,17,14.2,24.6667,80.42,6.13
Sharjah city,2,AE,1623713839,76,25.3573,55.4033,86.29,5.75
Bone,72,DE,1623714136,80,51.9669,12.1396,64.38,5.26
Sobolevo,8,RU,1623714136,91,54.4299,31.8996,57.47,1.14
Donetsk,95,UA,1623714137,63,48.0,37.8,69.26,5.17
Qandala,97,SO,1623714137,43,11.472,49.8728,91.63,10.16
Evensk,89,RU,1623714054,68,61.95,159.2333,49.73,9.35
Barcelona,0,ES,1623713892,53,41.3888,2.159,80.69,1.99
Dryden,75,CA,1623714138,55,49.7833,-92.7503,66.49,9.22
Saint-Joseph,43,RE,1623714138,73,-21.3667,55.6167,70.21,6.46
Raudeberg,81,NO,1623714138,94,61.9875,5.1352,50.67,20.13
Kieta,81,PG,1623714139,70,-6.2167,155.6333,84.6,6.17
Plettenberg Bay,6,ZA,1623714139,72,-34.0527,23.3716,58.1,4.05
Ubari,0,LY,1623714140,21,26.5921,12.7805,79.23,6.55
Shubarkuduk,0,KZ,1623714140,41,49.1447,56.4872,69.08,10.33
Touros,28,BR,1623714140,82,-5.1989,-35.4608,79.7,12.24
Tongren,100,CN,1623714141,84,27.7172,109.1853,80.82,3.04
Orapa,0,BW,1623714141,33,-21.2833,25.3667,53.78,6.64
Biloela,39,AU,1623714142,72,-24.4167,150.5,69.57,3.29
Ushtobe,0,KZ,1623714142,50,45.2514,77.9838,58.06,7.74
Yuryuzan',94,RU,1623714143,65,54.8633,58.4219,61.84,4.59
Te Anau,100,NZ,1623714143,95,-45.4167,167.7167,49.05,0.36
Half Moon Bay,20,US,1623714143,57,37.4636,-122.4286,82.54,1.99
Inawashiro,53,JP,1623714144,61,37.5667,140.1167,71.69,2.1
Imbituba,0,BR,1623714144,88,-28.24,-48.6703,64.29,6.44
Douglas,1,US,1623713948,37,41.3,-96.167,94.3,1.01
Udachny,72,RU,1623714145,51,66.4167,112.4,51.08,8.9
Yumen,100,CN,1623714145,43,40.2833,97.2,59.68,11.23
Matadi,81,CD,1623714146,88,-5.8167,13.45,72.3,3.38
Barkly West,39,ZA,1623714146,39,-28.5354,24.5215,54.68,7.54
Klaksvík,90,FO,1623714146,71,62.2266,-6.589,40.12,14.9
Ust-Tsilma,99,RU,1623714036,94,65.441,52.1498,49.73,3.67
Aranos,0,NA,1623714147,33,-24.1333,19.1167,55.92,11.74
Okhotsk,100,RU,1623714147,68,59.3833,143.3,52.25,6.06
Natchez,1,US,1623714148,74,31.5604,-91.4032,87.26,8.05
Isfahan,0,IR,1623714148,9,32.6572,51.6776,69.44,5.64
Vestmanna,75,FO,1623714149,81,62.1564,-7.1664,38.32,6.91
